epoch,train_loss,val_loss,train_mae,val_mae,train_mad,val_mad,train_final_mae,val_final_mae,train_final_mad,val_final_mad,train_relative_mae,val_relative_mae,train_relative_mad,val_relative_mad,lr_start,lr_end,eval_ran,epoch_time_seconds,total_elapsed_seconds,best_updated
1,0.5523357286172754,0.5868881633204799,9.956008911132812,10.457172393798828,7.9140625,8.1162109375,9.956008911132812,10.457172393798828,7.9140625,8.1162109375,9.956008911132812,10.457172393798828,7.9140625,8.1162109375,0.00011666666666666667,0.00018333333333333336,True,332.36968673999945,338.97663382599785,True
2,0.5522230054333093,0.5869271506099514,9.9533052444458,10.457754135131836,7.89990234375,8.119140625,9.9533052444458,10.457754135131836,7.89990234375,8.119140625,9.9533052444458,10.457754135131836,7.89990234375,8.119140625,0.00018333333333333336,0.00025,True,233.2269705260005,572.2057881949986,False
3,0.5522298850858609,0.5868434019877901,9.95383358001709,10.456681251525879,7.8759765625,8.12109375,9.95383358001709,10.456681251525879,7.8759765625,8.12109375,9.95383358001709,10.456681251525879,7.8759765625,8.12109375,0.00025,0.00024997202599558773,True,232.23465942799885,804.447007251998,False
4,0.5520137661636864,0.586892725374722,9.95087718963623,10.457236289978027,7.892578125,8.1162109375,9.95087718963623,10.457236289978027,7.892578125,8.1162109375,9.95087718963623,10.457236289978027,7.892578125,8.1162109375,0.00024997202599558773,0.0002498881167585945,True,231.67493371100136,1036.1302992849996,False
5,0.5519472176836306,0.5868820450249093,9.947291374206543,10.457088470458984,7.89599609375,8.119140625,9.947291374206543,10.457088470458984,7.89599609375,8.119140625,9.947291374206543,10.457088470458984,7.89599609375,8.119140625,0.0002498881167585945,0.0002497483106119162,True,230.60090742600005,1266.742481606001,False
6,0.5521520000080705,0.5868583349158353,9.951883316040039,10.456870079040527,7.9169921875,8.123046875,9.951883316040039,10.456870079040527,7.9169921875,8.123046875,9.951883316040039,10.456870079040527,7.9169921875,8.123046875,0.0002497483106119162,0.0002495526714075978,True,232.27988530400035,1499.0290483749995,False
7,0.5520571342470476,0.5869290062956523,9.951045989990234,10.457686424255371,7.90234375,8.1240234375,9.951045989990234,10.457686424255371,7.90234375,8.1240234375,9.951045989990234,10.457686424255371,7.90234375,8.1240234375,0.0002495526714075978,0.00024930128849767156,True,231.38885369800118,1730.424783696999,False
8,0.5521267532889819,0.586920513344346,9.950444221496582,10.457595825195312,7.90869140625,8.1259765625,9.950444221496582,10.457595825195312,7.90869140625,8.1259765625,9.950444221496582,10.457595825195312,7.90869140625,8.1259765625,0.00024930128849767156,0.00024899427669334764,True,231.99297244499758,1962.4244166079989,False
9,0.5523318971660408,0.5869581418485494,9.952897071838379,10.458147048950195,7.91357421875,8.123046875,9.952897071838379,10.458147048950195,7.91357421875,8.123046875,9.952897071838379,10.458147048950195,7.91357421875,8.123046875,0.00024899427669334764,0.00024863177621257823,True,231.2319455959987,2193.6760841430005,False
10,0.5523823048275603,0.5869256169398068,9.95702075958252,10.457751274108887,7.921875,8.119140625,9.95702075958252,10.457751274108887,7.921875,8.119140625,9.95702075958252,10.457751274108887,7.921875,8.119140625,0.00024863177621257823,0.00024821395261601716,True,232.97899681800118,2426.6636850510004,False
11,0.552374322166145,0.5869112762127484,9.954974174499512,10.457695007324219,7.93115234375,8.1201171875,9.954974174499512,10.457695007324219,7.93115234375,8.1201171875,9.954974174499512,10.457695007324219,7.93115234375,8.1201171875,0.00024821395261601716,0.00024774099673140546,True,230.2891569429994,2656.9635294709988,False
12,0.5526417069431537,0.5868933786015023,9.96112060546875,10.457283020019531,7.9462890625,8.123046875,9.96112060546875,10.457283020019531,7.9462890625,8.123046875,9.96112060546875,10.457283020019531,7.9462890625,8.123046875,0.00024774099673140546,0.00024721312456641657,True,232.07429011799832,2889.040455399998,False
13,0.5522850324245255,0.5868580152409942,9.9530029296875,10.456892013549805,7.9091796875,8.12109375,9.9530029296875,10.456892013549805,7.9091796875,8.12109375,9.9530029296875,10.456892013549805,7.9091796875,8.12109375,0.00024721312456641657,0.0002466305772100019,True,231.25889610399827,3120.3097398770005,False
14,0.5522003998480258,0.5868788992706556,9.950972557067871,10.457036972045898,7.9208984375,8.126953125,9.950972557067871,10.457036972045898,7.9208984375,8.126953125,9.950972557067871,10.457036972045898,7.9208984375,8.126953125,0.0002466305772100019,0.000245993620722281,True,230.66520788900016,3350.9900960470004,False
15,0.5525689776902033,0.5869086121442776,9.958562850952148,10.457507133483887,7.89404296875,8.1171875,9.958562850952148,10.457507133483887,7.89404296875,8.1171875,9.958562850952148,10.457507133483887,7.89404296875,8.1171875,0.000245993620722281,0.0002453025460130268,True,230.4441208190001,3581.4390802259986,False
16,0.5519710488385395,0.5868623270058866,9.949485778808594,10.45699405670166,7.9091796875,8.123046875,9.949485778808594,10.45699405670166,7.9091796875,8.123046875,9.949485778808594,10.45699405670166,7.9091796875,8.123046875,0.0002453025460130268,0.00024455766870880205,True,229.96523710399924,3811.415740229,False
17,0.5519966750474081,0.5868854041186489,9.949320793151855,10.457123756408691,7.904296875,8.1162109375,9.949320793151855,10.457123756408691,7.904296875,8.1162109375,9.949320793151855,10.457123756408691,7.904296875,8.1162109375,0.00024455766870880205,0.00024375932900880674,True,231.29701484199904,4042.723811975,False
