epoch,train_loss,val_loss,train_mae,val_mae,train_mad,val_mad,train_final_mae,val_final_mae,train_final_mad,val_final_mad,train_relative_mae,val_relative_mae,train_relative_mad,val_relative_mad,lr_start,lr_end,eval_ran,record_type,is_best_epoch,selection_metric,best_val_loss,best_val_mae,best_val_mad,test_loss,test_mae,test_mad
1,0.5352225568836839,0.5501561733315402,9.723546981811523,9.943780899047852,7.6962890625,7.7958984375,9.723546981811523,9.943780899047852,7.6962890625,7.7958984375,9.723546981811523,9.943780899047852,7.6962890625,7.7958984375,0.00011666666666666667,0.00018333333333333336,True,epoch,False,mae,,,,,,
2,0.5252537005229023,0.5535605445316095,9.592537879943848,9.9810209274292,7.564453125,7.8466796875,9.592537879943848,9.9810209274292,7.564453125,7.8466796875,9.592537879943848,9.9810209274292,7.564453125,7.8466796875,0.00018333333333333336,0.00025,True,epoch,False,mae,,,,,,
3,0.5214609565320855,0.545439953723763,9.55070972442627,9.87637996673584,7.44140625,7.9765625,9.55070972442627,9.87637996673584,7.44140625,7.9765625,9.55070972442627,9.87637996673584,7.44140625,7.9765625,0.00025,0.0002495586923464595,True,epoch,False,mae,,,,,,
4,0.5196391405129646,0.5453583289664056,9.522004127502441,9.854540824890137,7.508544921875,7.770263671875,9.522004127502441,9.854540824890137,7.508544921875,7.770263671875,9.522004127502441,9.854540824890137,7.508544921875,7.770263671875,0.0002495586923464595,0.0002482379490175943,True,epoch,False,mae,,,,,,
5,0.5172252578664577,0.5507190031891618,9.489461898803711,9.9555082321167,7.455078125,8.048828125,9.489461898803711,9.9555082321167,7.455078125,8.048828125,9.489461898803711,9.9555082321167,7.455078125,8.048828125,0.0002482379490175943,0.0002460472859993536,True,epoch,False,mae,,,,,,
6,0.5162672015828658,0.5491024623579264,9.475166320800781,9.939168930053711,7.41796875,7.65234375,9.475166320800781,9.939168930053711,7.41796875,7.65234375,9.475166320800781,9.939168930053711,7.41796875,7.65234375,0.0002460472859993536,0.00024300248706898278,True,epoch,False,mae,,,,,,
7,0.5158311256922088,0.5504489160687526,9.472944259643555,9.965702056884766,7.4677734375,7.8515625,9.472944259643555,9.965702056884766,7.4677734375,7.8515625,9.472944259643555,9.965702056884766,7.4677734375,7.8515625,0.00024300248706898278,0.00023912549007254662,True,epoch,False,mae,,,,,,
8,0.514351713249775,0.553317408575082,9.45560073852539,10.005535125732422,7.400390625,7.8203125,9.45560073852539,10.005535125732422,7.400390625,7.8203125,9.45560073852539,10.005535125732422,7.400390625,7.8203125,0.00023912549007254662,0.00023444422886224553,True,epoch,False,mae,,,,,,
9,0.5127253278837549,0.5463636125454896,9.437204360961914,9.90291690826416,7.34375,7.630859375,9.437204360961914,9.90291690826416,7.34375,7.630859375,9.437204360961914,9.90291690826416,7.34375,7.630859375,0.00023444422886224553,0.00022899243203237065,True,epoch,False,mae,,,,,,
10,0.5123854615696574,0.5424753559588718,9.423139572143555,9.827122688293457,7.3046875,8.05078125,9.423139572143555,9.827122688293457,7.3046875,8.05078125,9.423139572143555,9.827122688293457,7.3046875,8.05078125,0.00022899243203237065,0.0002228093799040088,True,epoch,False,mae,,,,,,
11,0.5110818000465898,0.541645814459588,9.409043312072754,9.825697898864746,7.3359375,7.814453125,9.409043312072754,9.825697898864746,7.3359375,7.814453125,9.409043312072754,9.825697898864746,7.3359375,7.814453125,0.0002228093799040088,0.00021593962150942922,True,epoch,False,mae,,,,,,
12,0.5071709989481037,0.5437656089266419,9.346221923828125,9.862238883972168,7.2705078125,7.49609375,9.346221923828125,9.862238883972168,7.2705078125,7.49609375,9.346221923828125,9.862238883972168,7.2705078125,7.49609375,0.00021593962150942922,0.0002084326536152849,True,epoch,False,mae,,,,,,
13,0.5011183296238175,0.5421250523557837,9.253353118896484,9.838947296142578,7.298828125,8.30859375,9.253353118896484,9.838947296142578,7.298828125,8.30859375,9.253353118896484,9.838947296142578,7.298828125,8.30859375,0.0002084326536152849,0.00020034256409727505,True,epoch,False,mae,,,,,,
14,0.49446068062328113,0.5466998660046122,9.172134399414062,9.877843856811523,7.162841796875,7.72900390625,9.172134399414062,9.877843856811523,7.162841796875,7.72900390625,9.172134399414062,9.877843856811523,7.162841796875,7.72900390625,0.00020034256409727505,0.00019172764223576085,True,epoch,False,mae,,,,,,
15,0.4899579447771634,0.5218568152498564,9.109661102294922,9.576953887939453,7.11328125,7.45703125,9.109661102294922,9.576953887939453,7.11328125,7.45703125,9.109661102294922,9.576953887939453,7.11328125,7.45703125,0.00019172764223576085,0.00018264995874016493,True,epoch,False,mae,,,,,,
16,0.4820454259443926,0.5146190850965439,8.996207237243652,9.47986125946045,7.0751953125,7.3359375,8.996207237243652,9.47986125946045,7.0751953125,7.3359375,8.996207237243652,9.47986125946045,7.0751953125,7.3359375,0.00018264995874016493,0.00017317491852808777,True,epoch,False,mae,,,,,,
17,0.481799642851044,0.5050259462412745,9.008101463317871,9.362985610961914,7.0224609375,7.4609375,9.008101463317871,9.362985610961914,7.0224609375,7.4609375,9.008101463317871,9.362985610961914,7.0224609375,7.4609375,0.00017317491852808777,0.00016337078948137738,True,epoch,False,mae,,,,,,
18,0.4734272535512452,0.5086088232372118,8.899360656738281,9.395635604858398,6.91796875,7.3837890625,8.899360656738281,9.395635604858398,6.91796875,7.3837890625,8.899360656738281,9.395635604858398,6.91796875,7.3837890625,0.00016337078948137738,0.00015330821057447648,True,epoch,False,mae,,,,,,
19,0.46586787125882373,0.5058666401625014,8.783955574035645,9.355559349060059,6.91015625,7.3125,8.783955574035645,9.355559349060059,6.91015625,7.3125,8.783955574035645,9.355559349060059,6.91015625,7.3125,0.00015330821057447648,0.00014305968291899264,True,epoch,False,mae,,,,,,
20,0.46709106944771417,0.5061261759232338,8.805100440979004,9.328764915466309,6.9765625,7.3095703125,8.805100440979004,9.328764915466309,6.9765625,7.3095703125,8.805100440979004,9.328764915466309,6.9765625,7.3095703125,0.00014305968291899264,0.00013269904739152819,True,epoch,False,mae,,,,,,
21,0.4630038447988813,0.4947679935631879,8.74632453918457,9.194785118103027,6.87890625,7.46484375,8.74632453918457,9.194785118103027,6.87890625,7.46484375,8.74632453918457,9.194785118103027,6.87890625,7.46484375,0.00013269904739152819,0.00012230095260847186,True,epoch,False,mae,,,,,,
22,0.4649301772993828,0.4871788605065366,8.758544921875,9.115427017211914,6.9228515625,7.5771484375,8.758544921875,9.115427017211914,6.9228515625,7.5771484375,8.758544921875,9.115427017211914,6.9228515625,7.5771484375,0.00012230095260847186,0.00011194031708100735,True,epoch,False,mae,,,,,,
23,0.45228655501437565,0.48667628016077286,8.5869722366333,9.091144561767578,6.765625,7.6171875,8.5869722366333,9.091144561767578,6.765625,7.6171875,8.5869722366333,9.091144561767578,6.765625,7.6171875,0.00011194031708100735,0.00010169178942552354,True,epoch,False,mae,,,,,,
24,0.4506028889198595,0.47934905074923434,8.575360298156738,8.988133430480957,6.796875,7.58984375,8.575360298156738,8.988133430480957,6.796875,7.58984375,8.575360298156738,8.988133430480957,6.796875,7.58984375,0.00010169178942552354,9.162921051862262e-05,True,epoch,False,mae,,,,,,
25,0.4454394355836928,0.47942691013154276,8.494041442871094,8.98161506652832,6.71875,7.48828125,8.494041442871094,8.98161506652832,6.71875,7.48828125,8.494041442871094,8.98161506652832,6.71875,7.48828125,9.162921051862262e-05,8.182508147191222e-05,True,epoch,False,mae,,,,,,
26,0.4428217878347754,0.47980115774804716,8.44614028930664,9.007502555847168,6.544921875,7.0390625,8.44614028930664,9.007502555847168,6.544921875,7.0390625,8.44614028930664,9.007502555847168,6.544921875,7.0390625,8.182508147191222e-05,7.235004125983502e-05,True,epoch,False,mae,,,,,,
27,0.44293603024246525,0.4742447712979845,8.464153289794922,8.94857120513916,6.732421875,7.3515625,8.464153289794922,8.94857120513916,6.732421875,7.3515625,8.464153289794922,8.94857120513916,6.732421875,7.3515625,7.235004125983502e-05,6.327235776423916e-05,True,epoch,False,mae,,,,,,
28,0.43660467635671246,0.4800249203558891,8.391460418701172,9.006486892700195,6.63671875,7.169921875,8.391460418701172,9.006486892700195,6.63671875,7.169921875,8.391460418701172,9.006486892700195,6.63671875,7.169921875,6.327235776423916e-05,5.4657435902724915e-05,True,epoch,False,mae,,,,,,
29,0.43762780475477514,0.46999466670010903,8.368246078491211,8.87685489654541,6.65234375,7.35302734375,8.368246078491211,8.87685489654541,6.65234375,7.35302734375,8.368246078491211,8.87685489654541,6.65234375,7.35302734375,5.4657435902724915e-05,4.656734638471506e-05,True,epoch,False,mae,,,,,,
30,0.4316481501759564,0.47125777363944354,8.299698829650879,8.887042999267578,6.5078125,6.98828125,8.299698829650879,8.887042999267578,6.5078125,6.98828125,8.299698829650879,8.887042999267578,6.5078125,6.98828125,4.656734638471506e-05,3.9060378490570776e-05,True,epoch,False,mae,,,,,,
31,0.43196948230581367,0.4698254879861861,8.312501907348633,8.897814750671387,6.5234375,7.359375,8.312501907348633,8.897814750671387,6.5234375,7.359375,8.312501907348633,8.897814750671387,6.5234375,7.359375,3.9060378490570776e-05,3.219062009599116e-05,True,epoch,False,mae,,,,,,
32,0.4277975577525245,0.4654119892508251,8.234617233276367,8.801812171936035,6.37890625,7.09375,8.234617233276367,8.801812171936035,6.37890625,7.09375,8.234617233276367,8.801812171936035,6.37890625,7.09375,3.219062009599116e-05,2.6007567967629356e-05,True,epoch,False,mae,,,,,,
33,0.4277285296579155,0.46123407682897666,8.253241539001465,8.750362396240234,6.5458984375,7.197265625,8.253241539001465,8.750362396240234,6.5458984375,7.197265625,8.253241539001465,8.750362396240234,6.5458984375,7.197265625,2.6007567967629356e-05,2.0555771137754487e-05,True,epoch,False,mae,,,,,,
34,0.4267398496617213,0.4685196668369406,8.23360538482666,8.814160346984863,6.48046875,7.06787109375,8.23360538482666,8.814160346984863,6.48046875,7.06787109375,8.23360538482666,8.814160346984863,6.48046875,7.06787109375,2.0555771137754487e-05,1.5874509927453396e-05,True,epoch,False,mae,,,,,,
35,0.4206896235199926,0.45772807009591293,8.147127151489258,8.711950302124023,6.44140625,7.22265625,8.147127151489258,8.711950302124023,6.44140625,7.22265625,8.147127151489258,8.711950302124023,6.44140625,7.22265625,1.5874509927453396e-05,1.1997512931017188e-05,True,epoch,False,mae,,,,,,
36,0.4208647279471479,0.45901582435003335,8.160931587219238,8.725096702575684,6.36328125,7.15625,8.160931587219238,8.725096702575684,6.36328125,7.15625,8.160931587219238,8.725096702575684,6.36328125,7.15625,1.1997512931017188e-05,8.95271400064639e-06,True,epoch,False,mae,,,,,,
37,0.42128609298053193,0.45827839668803594,8.14982795715332,8.709147453308105,6.390625,7.171875,8.14982795715332,8.709147453308105,6.390625,7.171875,8.14982795715332,8.709147453308105,6.390625,7.171875,8.95271400064639e-06,6.762050982405715e-06,True,epoch,False,mae,,,,,,
38,0.41608843167195925,0.4597974663696985,8.079740524291992,8.736017227172852,6.30859375,7.1015625,8.079740524291992,8.736017227172852,6.30859375,7.1015625,8.079740524291992,8.736017227172852,6.30859375,7.1015625,6.762050982405715e-06,5.4413076535405015e-06,True,epoch,False,mae,,,,,,
39,0.4187922418562577,0.4605120142913968,8.119425773620605,8.746281623840332,6.3857421875,7.13671875,8.119425773620605,8.746281623840332,6.3857421875,7.13671875,8.119425773620605,8.746281623840332,6.3857421875,7.13671875,5.4413076535405015e-06,5e-06,True,epoch,False,mae,,,,,,
40,0.42061659397377255,0.4551682622703563,8.156007766723633,8.661661148071289,6.4609375,7.23046875,8.156007766723633,8.661661148071289,6.4609375,7.23046875,8.156007766723633,8.661661148071289,6.4609375,7.23046875,5e-06,5.4413076535405015e-06,True,epoch,True,mae,,,,,,
40,,,,,,,,,,,,,,,,,,best_model,True,mae,0.4551682622703563,8.661661148071289,7.23046875,,,
